 Count  Overhead File                    Line Function
    19         0 …ighbors/src/search.jl    65 _search_knn!(tree::ATRIATree{Floa…
    19         0 …ighbors/src/search.jl    68 _search_knn!(tree::ATRIATree{Floa…
    19         0 @Base/dict.jl            377 setindex!(h::Dict{SearchItem, Int…
    23         0 …bors/src/pointsets.jl   122 distance
    53         0 …ighbors/src/search.jl    26 knn(tree::ATRIATree{Float64, Int6…
    54         0 …rs/profile_minimal.jl    69 run_profiled_workload()
    54         0 …ighbors/src/search.jl    20 knn
    63         0 @Base/client.jl          557 _start()
    63         0 @Base/client.jl          323 exec_options(opts::Base.JLOptions)
    63         0 @Base/Base.jl            495 include(mod::Module, _path::Strin…
    63         0 @Base/loading.jl        2206 _include(mapexpr::Function, mod::…
    63         0 @Base/loading.jl        2146 include_string(mapexpr::typeof(id…
    63         0 @Base/boot.jl            385 eval
    63         0 …rs/profile_minimal.jl   292 main()
    63         0 …rs/profile_minimal.jl    92 profile_to_file(filename::String,…
    63         0 …rofile/src/Profile.jl    43 macro expansion
Total snapshots: 63. Utilization: 100% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
